state, mnrate
Idaho," 	29.1"
Arkansas," 	30.2"
Wyoming," 	30.3"
Maine," 	30.6"
Oklahoma," 	30.9"
West Virginia," 	30.9"
Kentucky," 	31.0"
Montana," 	31.5"
Kansas," 	31.7"
New Hampshire," 	31.7"
Tennessee," 	31.7"
Iowa," 	31.9"
Utah," 	32.1"
Alabama," 	32.4"
Nebraska," 	32.4"
Missouri," 	32.6"
Indiana," 	33.1"
Oregon," 	33.2"
South Dakota," 	33.6"
North Carolina," 	33.7"
Vermont," 	34.1"
Washington," 	34.1"
Ohio," 	34.2"
Wisconsin," 	34.3"
Florida," 	34.6"
South Carolina," 	34.6"
Virginia," 	34.6"
Colorado," 	34.7"
Minnesota," 	34.7"
Texas," 	34.8"
Michigan," 	35.5"
Mississippi," 	35.5"
Delaware," 	35.6"
Nevada," 	35.6"
Arizona," 	36.0"
North Dakota," 	36.0"
Pennsylvania," 	36.1"
Georgia," 	36.2"
New Mexico," 	36.4"
Connecticut," 	36.8"
New Jersey," 	37.0"
Maryland," 	37.2"
Louisiana," 	37.4"
Alaska," 	37.5"
Hawaii," 	37.5"
Illinois," 	37.5"
Massachusetts," 	38.7"
Rhode Island," 	39.2"
California," 	40.0"
New York," 	40.7"
Puerto Rico," 	42.1"
District of Columbia," 	58.3"
